pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,label,filename,split
2.0557008,1.616811,0.0,1.4060993,1.886843,1.3216376,1.5937225,1.7502803,1,train_715.png,train
0.53453976,2.306436,1.8594172,1.7782613,1.8341483,1.2592298,1.3116596,1.4103178,0,train_2780.png,train
0.25049293,1.5829294,2.347678,1.9786456,1.8051869,1.8439481,0.0,0.9735826,1,train_528.png,train
1.2618648,1.988542,1.1949713,1.5825953,1.6116079,1.90309,1.0833564,0.061109066,0,train_2969.png,train
0.40739864,1.8827994,1.6083815,1.5344381,2.2711842,1.3357617,2.5477743,1.5405753,0,train_3978.png,train
0.3568207,0.89115834,1.3316058,1.6944793,2.0784888,1.564917,1.9394853,0.887236,0,train_233.png,train
2.8038602,2.134419,2.1780233,1.4473464,0.7388066,1.2499154,2.8981316,1.0556345,1,train_7394.png,train
1.225888,1.8044469,1.0118992,1.8977985,1.7135112,1.8899436,1.3387613,0.6772851,1,train_2489.png,train
1.398485,1.1217651,0.20429671,2.261115,1.961078,1.4131004,1.5694866,2.6202633,0,train_9235.png,train
1.5265517,2.2585096,0.68399435,1.35338,1.6792306,1.0043986,2.1967838,2.7675586,1,train_6915.png,train
2.1091924,0.4621787,1.200698,1.8923566,2.618207,2.6600509,2.4801936,2.6527083,0,train_3549.png,train
0.07722926,0.54268485,1.9841278,1.2097981,1.128267,2.2775126,1.4876711,2.2989013,1,train_4870.png,train
0.62740594,1.7687562,1.1908922,2.432612,2.5028582,1.4266275,2.2214618,2.2437735,1,train_2282.png,train
0.07588053,0.06700933,1.7759057,0.38993835,0.3296801,1.6751581,2.415981,2.3100934,0,train_5976.png,train
1.2650927,2.4938784,1.1514751,1.2956457,1.538578,0.80909765,1.8056313,2.095336,0,train_5077.png,train
1.8824693,1.2511026,0.35343653,1.3765229,2.2323842,2.3095136,2.142576,2.7437918,1,train_1303.png,train
0.18856323,1.3086452,1.8522213,1.7353804,1.424158,1.5603082,1.9911667,1.8785632,0,train_3493.png,train
2.8835454,0.5759141,2.2939699,1.5685325,2.608861,0.9067483,2.367667,2.113677,0,train_8716.png,train
1.1359088,1.3260771,0.52808946,2.0016625,1.3217623,1.1929892,1.8685358,2.0911956,1,train_387.png,train
1.6132091,3.1415927,1.3436204,0.24867332,1.922066,2.1504586,2.6145988,1.5604128,0,train_7264.png,train
2.2133904,0.9324526,1.6011065,2.033473,1.807867,1.3298721,0.3910749,2.5324473,0,train_2256.png,train
0.4268629,2.6858063,2.0931914,1.0025876,2.236169,0.84312546,1.9771441,2.6195846,1,train_1693.png,train
0.3558995,1.6602743,1.6566972,1.4227103,2.6419919,1.0974922,1.5587461,2.1836357,0,train_1378.png,train
0.16213179,0.693494,1.72745,1.4350394,0.7315384,1.3364449,1.6417463,2.1758776,0,train_3031.png,train
1.6328113,2.6384194,0.8628478,0.97581,1.5984051,1.6968968,2.937167,2.410775,1,train_8983.png,test
1.312719,3.384146,1.91574,1.1538529,1.3259797,1.8179783,1.3962519,2.30237,1,train_6050.png,test
2.9121842,1.5084597,2.7473924,0.8292316,2.0390682,1.2417732,3.0951755,1.6910503,1,train_5058.png,test
0.7978064,1.9466825,1.4337653,2.3186054,1.6614435,1.4512479,1.1003702,0.18103361,1,train_3242.png,test
1.9266884,1.3492954,0.57709545,0.72700554,1.486497,1.5523404,1.9965683,1.1395106,0,train_5036.png,test
0.96927613,1.2356302,0.72206885,1.3688596,2.4655519,1.2727565,2.2191238,0.97800016,0,train_8647.png,test
0.45341152,1.3790976,1.1302216,2.280767,2.1233437,1.228799,2.5288918,1.9934398,0,train_5560.png,test
2.16272,1.9025103,0.6391911,0.41972268,1.9179708,1.4928855,1.9383059,1.502957,1,train_8091.png,test
0.8937925,0.43163037,0.3941173,1.9776385,1.8926284,0.5813862,1.369339,1.1471152,0,train_4461.png,test
1.3054805,2.1438556,0.96297395,1.8738834,1.4485505,1.6091082,1.8223894,1.760056,0,train_9394.png,test
0.4194358,1.8288003,1.389114,2.2298312,2.3878176,1.2868015,2.562193,1.7297142,0,train_2200.png,test
2.7506204,1.067973,2.1727345,1.3363314,1.7815187,1.078243,2.5330272,1.6471484,1,train_7644.png,test
2.082367,1.6307461,0.1457622,0.96241254,1.390683,1.3097234,2.0274606,1.9968991,0,train_1221.png,test
2.655737,1.7636681,1.5561931,1.4808148,0.976497,1.1545439,1.9855691,3.090613,0,train_2623.png,test
0.0046048164,1.1202238,2.351161,1.033772,1.2551768,1.9857934,1.3717362,3.105609,0,train_315.png,test
2.879435,0.0067931414,2.786265,2.229805,1.6735607,0.58360773,2.2987733,0.6310991,1,train_9041.png,test
2.4306235,2.2595854,1.1152045,1.5416446,0.5275583,1.3235857,2.5229769,2.6192284,1,train_793.png,test
1.039166,1.3764532,0.46448255,1.447238,2.2252665,0.40155613,2.6295881,1.4730612,0,train_4260.png,test
0.8194775,0.4564029,0.5615257,2.396457,1.8951247,1.2396789,1.2278726,-0.15388846,1,train_2378.png,test
0.24236226,1.5725012,2.0531762,1.1596807,1.3496614,1.1086352,1.1193049,3.086523,1,train_1153.png,test
